MOTIF ID	LOCATIONS	REFERENCES	DESCRIPTION
J1605			A man steals a large sum, keeps half and distributes the rest among five hundred persons. He says that he has committed one wrong but has done five hundred good deeds.
J1606	Italy		Entertained by a lord, they say that they are going to certain waters to recover their appetites. They are taken to a chamber and locked in for a day They recover their appetites without further journeying.
J1606.1	India	India	
J1607	Italy	Italian Novella	The owner of a dog has him given Christian burial. The bishop thereupon pretends that the dog has left the church a large legacy.
J1608	Crane, Italy, Vitry	Italian Novella	The ass absents himself from the parliament of beasts. The lion sends the fox and the wolf to summon him. He pleads his charter of exemption and invites the fox to read it in his hoof.
J1611			A man buys three pounds of meat. His wife eats it and says that the cat ate it. The man weighs the cat and finds that it does not weigh three pounds.
J1612			Loaded with salt, he falls down in the river and lightens his burden. His master then loads him with sponges so that the next time the ass tries the trick he increases his load.
J1613			A Jew, fallen into a pit, refuses to be rescued on Saturday, his Sabbath. The next day he calls for help but the Christians refuse to rescue him on Sunday, their Sabbath.
J1614			A parson boasts that when he asks his maid if certain work is done she always answers that it has been done long ago. A guest wagers that she can be trapped if she is asked whether she has thrown the parson's suit of clothes into the tub of water. She overhears the wager and has the suit in the water before he asks the question.
J1615			A tenant promises his daughter to his master against her will. The master sends for "that which was promised him." The daughter sends the horse, and it is taken into the master's chamber.
J1616			Soldiers are admitted neither to hell nor to heaven. They remind Peter of his denial of Christ. He admits them.
J1617			A woman tells her brother of God's omniscience. When he is ill and the priest has been called, he creeps under some straw and hides. The priest leaves. The man: "If God were so omniscient he might have found me for the priest."
J1618			A guardian of monks in need of food approaches the prince The prince is busy and says that he will permit the guardian but a single word. The guardian says, "Soup", and secures all the food he wants from the prince.
J1621			Two men on parting agree to share everything they receive. One returns with much money. His friend reminds him of the pact. He replies that he has also received many wounds. The friend is willing to forego dividing.
J1622			They are forced to sleep together because of lack of room. The blacksmith tells the horsetrader that he often dreams that he is striking the bellows and that he may accidently strike him in the night. The horsetrader retaliates by dreaming that he is riding a horse and drives the spurs into the blacksmith.
J1623			When he claims to see two roast chickens, his wife takes the one chicken away and he falls into the fire trying to find the other.
J1624			A woman crosses herself when she meets a priest, as if he were the devil. She says that meeting a priest always brings her bad luck. The priest knocks her down and steps on her. "As ye believe, so shall it be."
J1625			One king sends large sack of seed to the other to represent the number of his soldiers. The second replies with a small bag of peppercorns: "My army is small compared to yours but has all the power of the peppercorn compared to your lifeless seed."
J1626			An apprentice harpmaker is blamed that he has not made the harp sound. He throws the harp at his master's head and breaks it to pieces: "There you have your sound."
J1627			A nobleman embezzles money from the public treasury. When counsellors urge an accounting, he replies that he is ready as soon as they have themselves made an accounting of all their transactions. They are ready to let well enough alone.
J1628			A traitor is hanged in effigy naked. Later the citizens sue for peace and arrange a meeting. They find him in a hot room swathed with many blankets. He says that he has taken cold when the night wind blew on him as he hung naked from the gallows.
J1631			A shoemaker's apprentice greases boots as he would grease a fowl. The owner in anger returns and breaks a window.
J1632	Spain	Spanish	The cobbler learns the minstrel's songs and sings them so that the minstrel loses his trade. He in turn sews the cobbler's leather into crazy shapes. He has done no worse than the cobbler, who marred his songs. When they sing together the people realize the contrast and patronize the minstrel.
J1633			A man failing to receive alms in a village, rings the bell for mass. He tells the sexton that he is ringing because of the death of brotherly love. The sexton rings another bell. It is for the death of the other man's patience.
J1634	Spain	Spanish Exempla	In order to test a favorite, a king says that he is going to retire from the world and offers the regency to the favorite. On advice from his philosopher, the favorite says that he is going to accompany the king into retirement.
J1635			
J1636	Italy, U.S.	Italian Novella, U.S.	Ruler to servant stealing his game: "If you wish any I'll send you some."
J1638	Italy	Italian Novella	Merchant at inn deprives monk of fowl. "It's against the rules of your order." Later the monk undertakes to help merchant across stream. In the middle of the stream he asks the merchant if he has any money. "Yes." The monk drops him in the water. "It's against the rules of our order to have any money on us."
J1647	Spain	Spanish Exempla	
J1648	U.S.	U.S.	Man asks directions to a certain place. Native attempts to give directions, then in disgust says, "If I wanted to go to   , I wouldn't start from here."
J1651			An undesirable abbot furnishes adequate grounds for his dismissal when he cannot find the needle that all monks are supposed to carry with them. If careless in little things he will be careless in great.
J1652			Oracle that the first of three sons to kiss his mother will be king. One of them kisses the earth, mother of all. He succeeds.
J1653	Italy	Italian Novella	Peasant calls on lawyer for advice. Lawyer says that he is busy. Peasant returns with lamb. The lawyer hears its bleat and grants the audience.
J1655.1	India	India	
J1655.2	India	India	
J1655.3	India	India	
J1661.1.1	India, Italy, Korea	India, Italian Novella, Korean	A she-camel has passed, blind in one eye; on the one side she carries wine and on the other vinegar; two men lead her, one a heathen and the other a Jew. Solution: She is recognized as a she-camel by the footprints; she is blind because she feeds on only one side of the road; the wine dropping down has soaked into the earth; the vinegar makes bubbles; the heathen is not so careful in his manners as is the Jew.
J1661.1.1.1	India	India	
J1661.1.2	India, Italy, Spain	India, Italian Novella, Spanish Exempla	After dinner the king begins to dance. He is therefore called illegitimate. His mother acknowledges an intrigue with a dancer.
J1661.1.2.1	Korea	Korean	
J1661.1.3			It falls apart; therefore it was kneaded by a weak person.
J1661.1.4			Told by shape of hoofs.
J1661.1.5	Italy, Spain	Italian Novella, Spanish Exempla	Has drooping ears.
J1661.1.5.1	Italy	Italian Novella	Can not get enough to eat.
J1661.1.6	India, Italy, Spain	India, Italian Novella, Spanish Exempla	The jewel is warm.
J1661.1.7	Italy	Italian Novella	
J1661.1.8	India	India	
J1661.1.9	India	India	
J1661.1.10	India	India	Cauldron has been buried in river. Thief has no taste of salt on his body: he must have been immersed in fresh water recently.
J1661.2	India	India	
J1661.3	Ireland	Irish myth	Another (interlocutor) identifies them.
J1662	Africa, Angola, California, India, Magoun, Romania, Spain	. Roumanian, India, Spanish Exempla, cf. Africa (Angola)	She saves herself on a tree. The fox, who knows a hundred tricks, is captured.
J1662.1	India	India	Female jackal saves herself and husband by quick thinking.
J1664.1	India	India	Rainy season or winter (debate between animals). Solution by man as umpire: neither as cold as windy season.
J1671			Makes the horses run by binding a bundle of hay to the shaft.
J1672	Ireland	Irish myth	Penny demanded of every bad man, two pennies of every good man. Thus two pennies received from every man.
J1675.1.1			
J1675.1.2		Jewish	Husband is imprisoned and wife detained by judge. She accuses her husband of having stolen her.
J1675.2.1	Iceland, Spain	Icelandic, Spanish	The messenger arranges it so that the king says the words in the form of a question.
J1675.3	Italy	Italian Novella	A nobleman seeing an ass letting water in a river remarks that it reminds him of his king. He explains to the king that just as the ass puts water where it is already plentiful, so the king awards wealth where it is not needed. The king says that it is all in the nature of the nobleman's fate. Subsequent events prove this.
J1675.4	Africa	Africa (Vai)	Clever man avoids saying "one" (which king considers a curse on his one eye) by saying that first is the rock that must not be called by name.
J1675.5	Italy	Italian Novella	Separates hogs into tenors, bassos, etc. So arranges them that when he pricks them they render a tune.
J1675.6	Ireland	Irish myth	King requires story. Poet recites list, ending with account of the destruction of his dun. Reparation granted.
J1675.7	India	India	
J1675.8	India	India	When steadily unable to be admitted to presence of a king, a clever man demands an interview saying he is the son of God come down to earth and will condescend to see the king. When asked to show the king Heaven and the path to it, the pretender retorts that when he was sent down by the Father, he was told to look to matters relating to this earth.
J1678	Italy	Italian Novella	Two men cannot agree to bride's dowry. Third party tells each parent that the other has agreed. Marriage. "Now that you are relatives you can settle it between yourselves."
J1682	Ireland	Irish myth	
J1684	Ireland	Irish myth	
J1700	Germany, Guinea, India, New, Switserland	. Swiss, Hindu, N. A. Indian, Oceanic (German New Guinea, Banks Is., New Hebrides)	
J1701	French, Ireland, Missouri		
J1701.1	India	India	
J1702		Jewish	
J1703	India	India	
J1705.1			
J1705.2	India	India	
J1705.3	India	India	
J1705.4		Jewish	
J1706.1	India	India	
J1711			
J1711.1			Sheep, duck, and cock in peril The duck swims; the cock flies to the mast.
J1712	India	India, West Indies	Three men greeted by a stranger. Quarrel as to whom he greeted. "I greeted the biggest fool among you." A contest is held in which tales are told to decide which is the biggest fool.
J1713			
J1714	India	India	
J1714.1	Africa	Africa (Vai)	Both are put to death for their foolishness.
J1714.2			A wise man is persuaded to taste water which has turned many persons into fools. He also becomes a fool.
J1714.3			A wise man refuses to join a foolish crowd who stayed out in an unexpected rain after a long drought. He is punished by them for being a fool.
J1714.3.1	Ireland	Irish myth	Failing to convince people, they go into a cave. After the shower they come out. The people call them fools.
J1714.4	Spain	Spanish	Stupid people and gossipers are praising it.
J1714.5	India	India	
J1715			Leaves when placed between two fools at table.
J1717	India	India	
J1730.1	Ireland	Irish myth	
J1731.1			
J1731.2	Spain	Spanish	Unwilling to admit that he does not know what a honeycomb is, a stupid man asks the innkeeper's wife to roast a slice of honeycomb.
J1732.1			He squeezes the inside out and takes the covering for a sack.
J1732.2	Canada, England, U.S.	U.S.	(Similar for watermelon, plums.)
J1732.3	Scotland	Scotland	
J1733			The sheep does not understand why the pig being carried to slaughter shrieks.
J1734.1			A farmer takes some of his master's urine for examination. The doctor asks where the man comes from. "You will soon see," says the man, expecting the analysis to tell.
J1735			
J1735.1			Numskull keeps the candle at his right side as he goes to bed so that he can do so.
J1736.1			Shoot it and build a rampart around it.
J1736.2			
J1736.3	India	India	
J1737.1	Italy	Italian Novella	Only after his return from an absence does he notice it.
J1738.1			
J1738.2	Italy	Italian Novella	Peasants take their old crucifix to an artist for a new one. The artist asks them whether they want a living or dead crucifix. Argument: living God takes less for upkeep and he can be killed later.
J1738.3	U.S.	U.S.	
J1738.4	U.S.	U.S.	
J1738.5	U.S.	U.S.	Preacher in backwoods asks congregation members who are friends of Jesus to rise. No one rises. "What, are there no friends of Jesus in this house?" A cowboy rises to his feet: "Stranger, I don't know who this man Jesus is. I never heard of him before, but I'll stand up for any man who hasn't got any more friends than he has."
J1738.6	U.S.	U.S.	Backwoods preacher tells couple that they are living in darkness. The woman responds that she has been trying for years to get her husband to cut a window in the house.
J1738.7	India	India	
J1738.8		Jewish	
J1741.1	Luca		Pergamus, a rival city of Luca, objects to the reading of the Evangelium secundum Lucam, insisting that it be "secundum Pergamum".
J1741.2			An ignorant schoolmaster interprets many of the texts of scripture as commands for the priests to live lives of luxury.
J1741.3			
J1741.3.1	England	England	The questions are not given in the order he expects; comic results.
J1742.1			
J1742.2			Mayor asked about where he lives, names his village and directs the enquirer to a big high house.
J1742.3	Latvia	Livonian	
J1742.3.1	India	India	
J1742.4			
J1742.5	India	India	Thinks latrine is kitchen, refuses to take a walk because he fears high houses will fall upon him, etc.
J1742.5.1	U.S.	U.S.	
J1743.1			A stupid man at confession says, "I confess myself guilty of all sins that I have committed since Christ's birth." "Are you so old?" "Yes, and I have a brother who is three years older than I." Wesselski Bebel II 106 No. 17; 
J1743.2	Italy	Italian Novella	Then they explain that Lent will be short because it has been a short winter.
J1743.3	Carolina, North, Wash.	North Carolina	Woman misinterprets calendar notation "February 22, Wash. B'day." Washes their bee-hives.
J1744		Cheremis	
J1744.1	India	India	
J1744.1.1	India	India	The numskull groom on his wedding night does not know how to get to the bed, the curtains being drawn. He scales one of the posts, clambers to the canopy, falls upon his bride below, who screams for help.
J1745.1	U.S.	U.S.	
J1745.2	India	India	
J1746.1	India	India	
J1747	Italy	Italian Novella	Fool asks what he is to talk about when guests arrive. Is told: "Their wives and family." He asks the archbishop about his family.
J1748			
J1749.1	Italy	Italian Novella	
J1749.2	Italy	Italian Novella	The names of the participants are not the same as those in his sample form.
J1751			"I know you well enough, you have put on a blue coat."
J1752			In the man's absence eats the mare.
J1753	Russian	Russian	
J1754			
J1755			
J1756	Zanzibar	Zanzibar	Hero in search of monster brings home a dog, zebra, etc. thinking it is the animal he seeks.
J1757	U.S.	U.S.	Servant sent to bring in cows is found chasing rabbits.
J1758.1	India	India	Fool trying to steal goat in dark catches thieving tiger.
J1758.1.1	India	India	
J1758.2	India	India	
J1758.3	India	India	
J1758.4	India	India	
J1758.5	India	India	
J1758.5.1	Spain	Spanish Exempla	Rides him.
J1758.6	India	India	
J1759	England, U.S.	U.S.	
J1759.1	Canada	Canada	
J1759.2	U.S.	U.S.	He shoots several times before he notices the trouble.
J1759.3	England, U.S.	U.S.	
J1759.4	India	India	
J1759.4.1	India	India	
J1759.5	India	India	
J1761.1	Iceland, India, indonesian	. Icelandic, Hindu, Indonesian, Jewish	Sailors light a fire on his back.
J1761.1.1	U.S.	U.S.	
J1761.1.2	U.S.	U.S.	
J1761.2			
J1761.3			The bird who tries to keep the monkeys from this error is killed for her pains.
J1761.4	Indonesia	Indonesian	Numskulls therefore throw away their fish.
J1761.5		Breton	
J1761.6	India	India	Bites tiger who tries to play flute.
J1761.6.1	India	India	
J1761.7			
J1761.8	England	England	
J1761.9	India	India	
J1761.10	Berkeley, England, India	India	Four blind men feel an elephant's leg, tail, ear and body, respectively, and conclude it is like a log, a rope, a fan, and something without beginning or end.
J1761.11	India	India	
J1762.0.1	India	India	
J1762.1			In a ghost house he is thought to be a tailor who snips the devil with his scissors.
J1762.1.2			
J1762.2			
J1762.2.1	Lithuania, Russia	Lithuanian, Russian	The godless man is cheated and attacks a bear thinking it is a saint, and barely escapes with his life.
J1762.3	India	India	
J1762.4	Carolina, North	North Carolina	
J1762.5			
J1762.6			
J1762.7			
J1762.8	Germany, Lithuania	Lithuanian	The strong man meets a bear in the forest, takes it for a German and struggles with it. Having strangled the bear, fears he has killed a man.
J1762.9	India	India	
J1763.1			
J1763.2			
J1763.3			
J1765		Jewish	
J1765.1	India	India	
J1765.2	India	India	
J1766.1	Ireland	Irish myth	
J1769.1			
J1769.2	U.S.	U.S.	
J1769.2.1	Italy	Italian Novella	Man with abhorrence for corpse sleeps with one thinking it alive.
J1769.3	India	India	
J1770	England, U.S.	U.S.	
J1771.1			Killed with guns and spears.
J1771.2			
J1771.3	India	India	
J1771.4	India	India	
J1771.5	Hawaii	Hawaii	
J1772	Italy	Italian Novella	
J1772.1	Breton, China, India, Switserland	. Swiss, Breton, Chinese, India	Numskull thinks he has hatched out an ass's egg. He thinks that the rabbit which runs out is the colt.
J1772.1.1	U.S.	U.S.	Small boy examines bedbug eggs under pillow every morning. One morning he finds a terrapin there. "I don't see how we raised this so quick."
J1772.1.2	India	India	
J1772.2			Cuts his mouth.
J1772.3	Italy	Italian	
J1772.3.1	India	India	
J1772.4	Peoria, Potawatomi	N. A. Indian (Peoria, Kickapoo, Potawatomi)	
J1772.4.1			
J1772.5	Hawaii	Hawaii	
J1772.6			
J1772.7	India	India	Start morning journey evening before.
J1772.8	India	India	
J1772.9	India	India	
J1772.9.1		Cheremis	Numskull tries to sell it.
J1772.10	Lithuania	Lithuanian	
J1772.11	Lithuania	Lithuanian	
J1772.12	India	India	
J1772.13	India	India	
J1772.14	India	India	
J1780	Indonesia	Indonesian	
J1781.1			
J1781.2	Lithuania	Lithuanian	Knocked to pieces.
J1781.3			
J1782.1			
J1782.1.1	U.S.	U.S.	
J1782.2	Estonia, Finland	Estonian, Finnish	It drops on the floor and the man thinks the place is haunted.
J1782.2.1	U.S.	U.S.	
J1782.3	England, U.S.	U.S.	
J1782.4	Lithuania, U.S.	Lithuanian, U.S.	
J1782.5	U.S.	U.S.	
J1782.6	U.S.	U.S.	
J1782.7	U.S.	U.S.	
J1782.8	U.S.	U.S.	
J1783.1			Fools knock it in two.
J1784	Lithuania	Lithuanian	
J1784.1	Africa	Africa (Masai)	
J1785	Lithuania	Lithuanian	
J1785.1	England	England	
J1785.2			Becomes red.
J1785.3	Italy	Italian Novella	
J1785.4	England	England	I am a psalmsinger and a worshiper of God!"
J1785.4.1	England	England	I am a righteous man and a psalm singer."
J1785.5	Italy	Italian Novella	Fool in the dark mistakes cat's eyes for embers. Is attacked by the cat and he thinks it is the devil.
J1785.6			
J1785.7			
J1786	India, Lithuania	India, Lithuanian	
J1786.1	India	India	
J1786.2	India	India	
J1786.3	India	India	
J1786.4	India	India	
J1786.5	Spain	Spanish Exempla	
J1786.6	India	India	
J1786.7	India	India	
J1786.8	India	India	
J1789.1	India, Russian	India, Russian	
J1789.2			
J1790	India	India	
J1790.1	India	India	
J1790.2	India	India	
J1790.3	India	India	
J1791.1			The numskull sees a cow drink from a pool where the moon is reflected. The moon goes under a cloud. He thinks the cow has eaten the moon and slaughters her to recover it.
J1791.2		American Negro	A numskull sees the moon in the water and throws a rope in to rescue it, but falls in himself. He sees the moon in the sky. At least the moon was saved!
J1791.3	Africa, India, South Africa, Spain	Africa (Zulu), N. A. Indian, Spanish	Man (animal) sees moon reflected in water and, thinking it a cheese, dives for it.
J1791.3.1	Spain	Spanish	
J1791.3.2			
J1791.3.2.1	India	India	
J1791.3.3	India	India	Fools dive for it.
J1791.3.4	India	India	
J1791.4	Africa, India, South Africa, Spain, Vitry	. Spanish Exempla, Africa (Zulu), India	Crossing a stream with meat in his mouth he sees his reflection; thinking it another dog with meat he dives for it and loses his meat.
J1791.5	India, Japan	India, Japanese, N. A. Indian	
J1791.5.1	India	N. A. Indian	
J1791.5.2	India	India	
J1791.5.3	India	India	
J1791.6	Indonesia, Melanesia	Melanesian, N. A. Indian	
J1791.6.0.1		Marquesas	
J1791.6.1	Italy, indonesian	Indonesian, Italian	Prides herself on her beauty.
J1791.6.2	Japan	Japanese	Attempts to drink the lake dry.
J1791.7	Hawaii, India, Indonesia, United States	American Negro, Hawaii, India, Indonesia	
J1791.7.1	India	India	
J1791.8	Spain	Spanish Exempla	The next day when she sees fish, she lets it escape.
J1791.9			
J1791.10			Thinks it is gold.
J1791.11	Indonesia, Spain	Indonesia, Spanish	Meantime rascal steals the fruit itself.
J1791.12	India	India	
J1792.1			
J1793			
J1794	Iceland	Icelandic	
J1795	England, U.S.	U.S.	
J1795.1	India	India	
J1796.1	England	England	
J1801			
J1802			
J1802.1			Foreigner asks who owns property, clothing, servants; whose wife an attractive woman is; whose funeral is in progress? Answer to each question is "I don't understand," which foreigner takes to be a person's name.
J1803.1			A cleric is asked whether he is of legitimate birth ("de legitimo thoro"). "No, I am not from that place; I am from Schmich."
J1803.2			
J1804	India, Japan	India, Japanese	
J1805.1			
J1805.1.1	India	India	Word for wife is similar, so wife is covered.
J1805.2.1	India	India	Father finds Prince Sobur.
J1805.3	India	India	People dive into tank to recover treasure they think he has lost.
J1805.4	India	India	
J1806		American Negro	
J1809.1	India	India	
J1811.1			
J1811.1.1	U.S.	U.S.	or giving the name of the young man she wants.
J1811.2	U.S.	U.S.	
J1811.3	U.S.	U.S.	
J1811.4.1	England, U.S.	U.S.	Hears a rooster crow, saying: "Cocky kuko! It's the same everywhere!" He returns home.
J1812.1	India	India	Numskull burns field.
J1812.2	Spain	Spanish Exempla	
J1812.3	Lithuania, Russian	Lithuanian, Russian	
J1812.4	India	India	
J1812.4.1	India	India	Hunchback springs into it to burn to his death.
J1812.5			
J1812.5.1	India	India	
J1813	India	India	
J1813.1	Africa, Rhodesia	Africa (Ila, Rhodesia)	Fool kills his wife because he thinks that she has eaten part of them.
J1813.2			Simpleton lets it run over.
J1813.2.1	India	India	Actually his wife has added cold water.
J1813.3	India	India	
J1813.4			
J1813.5	India	India	Cook eats one; none left.
J1813.6	India	India	
J1813.7	Lithuania, Russian	Lithuanian, Russian	The peasant entertains a priest at tea. Making it, puts in all the tea, six pounds of sugar, a piece of bacon, etc.
J1813.8	England, U.S.	U.S.	Small boy is at home to watch the dinner. Runs into church, calls out to his mother that the sheep's head has eaten all the dumplings (or butted them out of the pot).
J1813.9	U.S.	U.S.	They fill the room.
J1813.9.1	India	India	
J1813.10	India	India	
J1814	U.S.	U.S.	As he is making water he hears a brook flowing and mistakes what it is. He waits for a day and a half.
J1815	Denmark, U.S.	Danish, U.S.	A fool, liking the shoes on the feet of a man hanged on a gallows, cuts off the swollen feet in order to carry off the shoes. In the room in which he sleeps that night is a newborn calf. The next morning the man takes the shoes but leaves the feet. Peasants agree that the calf has eaten the man all but the feet. They burn the house to destroy the calf.
J1816	Iceland	Icelandic	
J1817	Indonesia	Indonesia	Other animals are shouting at him.
J1818.1	India	India	
J1819	U.S.	U.S.	
J1819.1			
J1819.2	U.S.	U.S.	
J1819.3		Marquesas	
J1821	Breton, India	Breton, India	Peasants go to visit the sea. They see a waving flax-field, and, thinking it is the sea, jump in to swim.
J1821.1	Tonga	Tonga	Mistaken for sea.
J1822			
J1823.1.1			Fool sees the image of Christ elevated on Ascension Day to the beams of the church. He accuses Christ of having fooled the people into believing that he has gone to heaven.
J1823.1.2			A man refuses to have anything to do with the crucifix because once an image of Christ has fallen on him in church and broken his arm. Reminded that this image is not the same, he replies that it is the son of the other and is just as bad.
J1823.1.3			Maidservant on way to church on Palm Sunday meets priests leading ass on which Jesus rode. The maid runs home and tells her mistress that the Lord has mounted and has just gone away.
J1823.1.4			
J1823.2			At a wedding after a period of silent prayer the bishop begins an antiphony. The fools walks up and strikes the bishop: "You have made this shouting in the church."
J1823.3			Draws his sword.
J1823.4	India	India	
J1824			Numskull refuses communion because his sister died shortly after eating the bread.
J1824.1			
J1825			Makes ridiculous report to his king.
J1825.1	Spain	Spanish	Good people do not need them; bad people do not reform as a result of them.
J1826			A nobleman praises his falcon. His fool, supposing they were praising the falcon as food, kills the bird, but is disappointed in the taste.
J1827			A pope in writing to a king says, "To our dear son Frederick." Upon hearing this the fool cries out, "That is a lie; he is no priest's son. I knew his father and mother and they were both honest people."
J1828	Indonesia	Indonesia	A fool sees a boat (with rowers) obedient to commands, "Right! Left!" etc. He asks what kind of wood the boat is made of. Later he gets a log of that wood and tries to make it obey commands.
J1831			A landlord in anger throws a dish out the window. The numskull throws the rest out, thinking that the landlord wanted to eat outdoors.
J1832	Japan	Japanese	Through misunderstanding one of the men jumps into the river. He calls out; the others think that he wants them to follow, and all jump in and are drowned.
J1833			He strikes at a fly on the bishop's nose because it seems to be killing the bishop.
J1833.1	India	India	
J1833.1.1	India	India	
J1833.1.2	India	India	
J1834	India	India	
J1835	India	India	
J1836	India	India	
J1838	Carolina, North	North Carolina	
J1842.1	India	India	
J1842.2	India	India	
J1842.3	India	India	
J1842.4	India	India	
J1845	Lithuania	Lithuanian, Rumanian	The delegate slips and falls, cursing: "The devil may take you!" The serfs outside think this was the congratulation, and all cry in chorus: "You and your family!"
J1846	Lithuania, Russian	Lithuanian, Prussian, Russian	On the way home from town he destroys his purchases.
J1849.1.1	India	India	
J1849.2	India	India	
J1849.3			
J1849.4			Foolish soldier at guard by cannon therefore quits.
J1851.1.1			
J1851.1.2	Spain	Spanish	He has been sent to mill to have it ground.
J1851.1.3			They have frightened his fleeing ass from the water.
J1851.1.4	India	India	
J1851.2	Indonesia	Indonesia	Numskulls hear birds calling and give them gifts.
J1851.3.1		Breton	
J1851.4			
J1852			
J1852.1			When he comes for his money the bird flies to a trash pile, where the fool finds a treasure.
J1852.1.1	India	India	Next day he finds a treasure there.
J1852.1.2	India	India	Treasure found.
J1853	Spain	Spanish	
J1853.1	Italy, Spain	Italian, Spanish	He is told not to sell to talkative people. The statue is the only one he can find who is not talkative.
J1853.1.1	Italy	Italian	Fool sells goods to a statue and when it will not pay him knocks it to pieces. He finds a treasure inside.
J1856			
J1856.1	Indonesia	Indonesia	
J1861			An ox strays on the rascal's land but escapes from him. The next week he sees the ox yoked up and gives him a beating. The master is astonished. The rascal: "Let me alone; he knows well enough what he has done."
J1862			A man's coat is stolen when he leaves his ass for a moment. He takes the saddle off the ass and says that he will give it back if the ass will return the coat.
J1863			Blamed for not teaching calf better.
J1863.1	England	England	
J1863.2		Jewish	
J1864	Africa	Africa (Vai)	On a rainy day when shot will not go a man flogs the shot. It goes and he shoots a deer.
J1865			In a land where the sickle is not known the new sickle cuts off the head of a man. It is drowned.
J1865.1		Cheremis	The men hang themselves in the attempt.
J1866.1	India	India	
J1867.1	India	India	
J1871	French, Missouri	Missouri French	Numskull sees cracks in the ground and feels so sorry for them that he greases them with the butter he is taking home.
J1872	India	N. A. Indian	Numskull hears limbs creaking in the wind. He is sorry for them and holds them apart. While he is caught between them his enemies take advantage of him.
J1872.0.1	India	India	When the wagon stops its creaking, fool decides it has died; he cremates it.
J1872.1			A numskull climbs a tree to help a cuckoo so that he may call louder than the one in the neighboring forest. Meanwhile his horse is eaten by a wolf.
J1873.1			
J1873.2	Japan	Japanese	
J1873.3			
J1873.4	India	India	Rascal misappropriates funds.
J1874.1	England, Italy, U.S.	Italian Novella, U.S.	
J1874.2	U.S.	U.S.	
J1875.1			A fool eats nuts. A kernel slips from him. The fool: "Everything tries to escape from death."
J1875.2	Russian	Russian	The woman thinks the boiling pot is complaining.
J1875.3	Indonesia	Indonesia	Numskulls try to take home a wave of the sea in a bamboo rod. At home when it refuses to wave they say that it is homesick for its mother, the sea.
J1875.4	India	India	Numskull thinks money piece covered with perspiration after he has held it for awhile is weeping.
J1879.1	England	England	
J1881.1	France, Indonesia, Spain	Indonesia, Missouri French, Spanish	
J1881.1.1			
J1881.1.2			Numskull lets one roll down hill; sends the other to bring it back.
J1881.1.3	England, French, Missouri, Spain	England, Missouri French, N. A. Indian, Spanish	
J1881.1.4			
J1881.1.5	Scotland	Scotland	The man asks his wife if it has arrived before him, finds that it has not. "I thought not. I came a shorter way."
J1881.1.6	India	India	
J1881.1.7	India	India	
J1881.2.1	Spain	Spanish	
J1881.2.2	Spain	Spanish Exempla	Since he is a swift runner they expect it to reach the landlord in time.
J1881.2.3	India	India	Fool directs them as he places them in stream.
J1882	India	India	
J1882.1			Fool believes they can be taught.
J1882.2	England, India	England, India	Fool made to believe that his ass (ox) has been educated and has become mayor.
J1882.3	India	India	
J1883	India	N. A. Indian	He thinks they are dancing when he sees them waving.
J1883.1	Italy	Italian Novella	
J1884			The woman tries to tire out her rival's boat so as to win the race, but only tires herself.
J1885			A boy roasts snails and they make noise in cooking. "Wretches, your house burns and yet you sing!"
J1886			Fool puts black clothes on his hen's necks. He tells people that they mourn their mother.
J1887			Fools chain a wheelbarrow, bitten by a mad dog, lest it bite others.
J1888			An old woman enraptured with the sound of a cathedral organ prays for it to come to her house and gives it directions as to where she lives.
J1891.1			A man has drunk so much of various wines that he is sick. He says to the wines, "Have peace among yourselves and don't quarrel or I'll throw you out the window."
J1891.2			On his deathbed refuses to forgive nails which ruined his tools.
J1891.3			Sea says that it is calm itself, but the wind blew it up and broke the ship.
J1892			A boy recently home from school sees his mother trying to catch the cock. "Don't mother, don't break his freedom or we will suffer for it."
J1894	Italy	Italian Novella	
J1895	India	India	Begs that people not believe what calf said.
J1896			
J1896.1	Hawaii	Hawaii	
J1901.1			A woman wants her hen to lay many eggs. Overfeeds her and she stops laying altogether.
J1901.2	England	England	
J1902.1	Breton, Italy, Spain	Breton, Italian, Spanish	Cautions people to be quiet and not frighten the eggs.
J1902.2			
J1903.1			When the calf will not drink, the peasant woman throws the water on its back.
J1903.2			When the customer refuses to take the milk he puts it back into the goat's mouth so that it will flow back into the udder.
J1903.3			A farmer who wanted to fatten a pig fed it only twice a day. When told to feed it three times a day he says, "A working man must have more to eat than a pig."
J1903.4	India	India	Decision: it lives on air.
J1904.1	England, Spain, Switserland	English, Spanish, Swiss	
J1904.2	England	England	Fools build an enclosure to keep in the cuckoo. She flies over the hedge. They say that they have not built the hedge high enough.
J1904.2.1	England	England	
J1904.2.2	India	India	
J1904.3	England	England	All are killed.
J1904.4	India	India	
J1904.4.1	India	India	Numskull considers what will happen if river burns up.
J1905			
J1905.1			
J1905.2			
J1905.3	India	India	The brother who owns the front end tries to drive the cow and will not let the owner of the rear end milk her.
J1905.4	Canada	Canada	
J1905.5	India	India	
J1905.6	India	India	
J1906.1	India	India	(Only frightens it.)
J1908			
J1908.1	India	India	A man has a cat trained to hold up lighted candles on its head. The king has a mouse let loose. The cat drops the candle and chases the mouse.
J1908.2	Italy, Spain		
J1908.3	Africa, Stuttgart	Africa (Nama)	
J1909.1			Later in his net they jump about without the aid of the flute.
J1909.2	Africa	Africa (Ekoi)	
J1909.3			
